,name,link_to_all_reviews,Date First Available,Is Discontinued By Manufacturer,ASIN,Neck Material Type,Color Screen,Language:,Screen Size,Display Technology,Voice Command,Speaker Count,Fill Material,Product Dimensions,Wireless Communication Technology,Computer Memory Size,Connectivity Technology,Mfr Part Number,Release date,Manufacturer recommended age,Compatible Phone Models,Specific Uses for Product,Hardware Interface,Fretboard Material,Connector Type,Number of Strings,Batteries,Guitar Pickup Configuration,Color Name,Material Composition,Color,Wattage,Proficiency Level,Size,Scale Length,Musical Style,Is Dishwasher Safe,Domestic Shipping,Rated,Hardware Platform,Guitar Pick Thickness,Brand name,Voltage,Fabric Type,Pricing,Batteries Required,Package Weight,Our Recommended age,Output Wattage,Item Weight,Phone Standy Time (with data),Special Features,National Stock Number,Back Material,Item model number,Operating System,Compatible Devices,Mfg Recommended age,Headphones Jack,Manufacturer,Department,Item Package Dimensions L x W x H,Package Dimensions,Speaker Amplification Type,Phone Talk Time,Number of Keyboard Keys,Body Material,Guitar Bridge System,Form Factor,Material Type,Frequency,Supported Software,Top Material,Other display features,Included Components,Best Sellers Rank,Warranty,International Shipping,Power Source
2305,Focal Elegia Audiophile Circum-Aural Closed-Back Over-Ear Headphones (Black/Silver),https://www.amazon.com/Focal-Audiophile-Circum-Aural-Closed-Back-Headphones/product-reviews/B07J5MDMTQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"October 10, 2018",Yes,B07J5MDMTQ,,,,,,,,,5.05 x 10.05 x 10.05 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 pounds,,,,,ELEGIA,,,,,Focal,,,,,,,,,,,,,,,,"#2,159 in Over-Ear Headphones",,,
2306,"iHip Side Swipe Touch Control Wireless Bluetooth Headphones Over Ear - Foldable, Soft Memory-Protein Earmuffs, w/Built-in Mic and Wired Mode for PC/Cell Phones/TV - White - Touch Only",https://www.amazon.com/Swipe-Control-inal%C3%A1mbrico-Bluetooth-auriculares/product-reviews/B07CRNJDL3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"May 4, 2018",No,B07CRNJDL3,,,,,,,,,,,,,,,,,,,,,,1 Lithium ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,1.33 pounds,,,,,IPRF004833,,,,,Zeikos,,,8.94 x 6.61 x 3.86 inches,,,,,,,,,,,,,"#2,058 in Over-Ear Headphones",,,
2307,APEKX Bluetooth Headphones True Wireless Earbuds with Charging Case IPX7 Waterproof TWS Stereo Sound Earphones Built-in Mic in-Ear Headsets Deep Bass for Sport Running Pink,,"April 21, 2020",No,B087C4B7Z3,,,,,,,,,3.9 x 2.44 x 1.2 inches,,,,,,,,,,,,,2 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,2.71 ounces,,,,,BE1032pk,,,,,APEKX,,,,,,,,,,,,,,,,"#3,886 in Earbud & In-Ear Headphones",,,
2308,"[Apple MFi Certified] 2 Pack Lightning to 3.5 mm Headphone Jack Adapter, iPhone 3.5mm Earphone Jack Adapter Aux Cable Compatible for iPhone 11/11 Pro/XS/XR/X 8 7 6/iPad, iPod, Support iOS 13",https://www.amazon.com/Certified-Lightning-Headphone-Earphone-Compatible/product-reviews/B085DPGWYK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"March 2, 2020",,B085DPGWYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317 ounces,,,,,,,,,,Glaida,,,4 x 1 x 0.5 inches,,,,,,,,,,,,,#510 in Headphone Adapters,,,
2309,Mini Bluetooth Earbuds Wireless Earbuds Bluetooth Headphones 5.0 Auto Pairing True Stereo in-Ear Noise Canceling Earphones with Power Case Hands-Free Calls for Driving Exercise,https://www.amazon.com/Bluetooth-Headphones-Canceling-Earphones-Hands-Free/product-reviews/B07Y8725X5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"September 23, 2019",,B07Y8725X5,,,,,,,,,,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,3.98 ounces,,,,,I9X,,,,,AISPEED CREATIONS,,,5.3 x 3.1 x 1.3 inches,,,,,,,,,,,,,"#1,756 in Earbud & In-Ear Headphones",,,
2310,"Josi Minea 3.5mm Audio Jack Extender Headphone Adapter with Gold Plated 4-Pole 3.5mm Connectors (3 Ring Jack) for Apple iPhone 6 / 6 Plus / 5S / 5C / 5 4S, iPad Air / Mini, Samsung Galaxy S6 / S5 / S4 / S3, Note 4 / 3 Nexus 4, HTC One, Nokia Lumia & most other Smartphones & Tablets",https://www.amazon.com/Josi-Minea-Headphone-Connectors-Smartphones/product-reviews/B011S8XKTU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"July 16, 2015",No,B011S8XKTU,,,,,,,,,11.5 x 1.1 x 5.8 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 ounces,,,,,kjm-1094,,,,,Josi Minea,,,,,,,,,,,,,,Wireless_display_on_website,,#513 in Headphone Adapters,,,
2311,"Budley - Tangle-Free Earphone/Earbud Case, Compact Storage System, Silicone (Teal/Gray/Purple, Set of 3)",https://www.amazon.com/Budley-Tangle-Free-Earphone-Compact-Silicone/product-reviews/B079ZJYDBM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"February 22, 2018",No,B079ZJYDBM,,,,,,,,,7 x 5 x 2 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2 ounces,,,,,,,,,,Budley,,,,,,,,,,,,,,,,"#5,027 in Headphone Cases",,,
2312,myFirst Headphone BC - Over The Ear Headphone for Kids with Bone Conduction Technology Kid Safe Materials with Unique Design Compact Customizable Decorative Surrounding Alert (Pink),https://www.amazon.com/Oaxis-myFirst-Headphone-Customizable-Surrounding/product-reviews/B07P638XKC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"March 7, 2019",,B07P638XKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12 ounces,,,,,,,,,,Oaxis,,,8.23 x 5.94 x 1.5 inches,,,,,,,,,,,,,"#4,127 in Over-Ear Headphones",,,
2313,Wireless Earbuds Bluetooth 5.0 Headphones in-Ear Noise Cancelling Headphones HiFi Stereo IPX5 Waterproof Headphones Built-in Microphone with Quick Charge Box for iPhone Android Apple Airpods,https://www.amazon.com/Bluetooth-Headphones-Cancelling-Waterproof-Microphone/product-reviews/B088K85SMM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"May 12, 2020",,B088K85SMM,,,,,,,,,,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,0.124 ounces,,,,,,,,,,AIR,,,3.62 x 3.39 x 1.26 inches,,,,,,,,,,,,,"#1,122 in Earbud & In-Ear Headphones",,,
2314,"Trolls World Tour Poppy Kids Headphones, Glow in The Dark, Stereo Sound, 3.5mm Jack, Wired Headphones for Kids, Tangle-Free, Volume Control, Childrens Headphones Over Ear for School Home, Travel",https://www.amazon.com/Trolls-Headphones-Tangle-Free-Control-Childrens/product-reviews/B0839PYN8M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"September 6, 2017",No,B0839PYN8M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3 ounces,,,,,TR-140v2,,,,,KIDdesigns,,,11.61 x 8.15 x 2.72 inches,,,,,,,,,,,,,"#4,016 in Over-Ear Headphones",,,
2315,Sony MDRX10/RED Simon Cowell X Headphones with 50mm Diaphragms,https://www.amazon.com/Sony-MDRX10-RED-Headphones-Diaphragms/product-reviews/B00972M942/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"September 10, 2012",No,B00972M942,,,,,,,,,9 x 4 x 10 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4 ounces,,,,,MDRX10/RED,,,,,Sony,,,,,,,,,,,,,,,,"#1,542 in On-Ear Headphones #2,776 in Over-Ear Headphones",,,
2316,"Kids Headphones, Pink Headphones Bluetooth Wireless Headphones with Magnetic Earbuds for Kids Girls Stereo Sound with Mic Noise Reduction Wireless Bluetooth Headset for School Travel (P1)",https://www.amazon.com/Headphones-VOGUISH-Bluetooth-Wireless-Reduction/product-reviews/B07CZ99WX5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"April 21, 2019",No,B07CZ99WX5,,,,,,,,,,,,,,,,,,,,,,1 Lithium ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,2.08 ounces,,,,,111,,,,,VOGUISH,,,3.5 x 2.3 x 0.7 inches,,,,,,,,,,,,,#572 in Over-Ear Headphones,,,
2317,"USB C to 3.5mm Aux Headphone Adapter,Dual 3.5mm Jack Audio Splitter with Charging Support Volume Control,Compatible for iPad pro,Pixel 3/3XL/2/2XL,Galaxy Note 10/10+,HTC U Series,Huawei P20 and More",https://www.amazon.com/Headphone-Adapter-Splitter-Charging-Compatible/product-reviews/B07TP8YZTY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"April 22, 2019",,B07TP8YZTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41 ounces,,,,,THT008+,,,,,DIGSELL,3.5mm headphone audio adapter splitter,,5.9 x 2.6 x 0.3 inches,,,,,,,,,,,,,"#2,776 in Headphone Adapters",,,
2318,COOLOUS A9 Bluetooth Headphones Wireless Sport Earphones with Wireless Charging Case TWS Stereo Wireless Earbud Built-in Mic Bluetooth 5.0 IPX7 Waterproof,https://www.amazon.com/COOLOUS-A9-Bluetooth-Headphones-Waterproof/product-reviews/B081N575J7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"November 17, 2019",,B081N575J7,,,,,,,,,,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,4.6 ounces,,,,,A9,,,,,COOLOUS INC,,,4.8 x 3.31 x 0.63 inches,,,,,,,,,,,,,"#6,918 in Earbud & In-Ear Headphones",,,
2319,Power Acoustik HP902R Feet POWER ACCOUSTIC 2 SWIVEL 2CH. WIRELESS,https://www.amazon.com/Power-Acoustik-HP902R-ACCOUSTIC-WIRELESS/product-reviews/B001584QQU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"July 7, 2004",No,B001584QQU,,,,,,,,,10 x 8.5 x 4.5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 pounds,,,,,HP902RFT,,,,,Epsilon Electronics Inc.,"MOBILE AUDIO, VIDEO & ACCESSORIES -> MOBILE VIDEO",,,,,,,,,,,,,,,"#1,070 in On-Ear Headphones #1,876 in Over-Ear Headphones",,,
2320,"Earbuds,Earphones,Pasuwisma in-Ear Headphones Noise Isolating,Compatible with iPhone,iPod,iPad,MP3 Players,Samsung Galaxy,Nokia,HTC,etc 4pack (4, Metal)",https://www.amazon.com/Earphones-Pasuwisma-Headphones-Isolating-Compatible/product-reviews/B07TFCZ1ZP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"July 1, 2019",,B07TFCZ1ZP,,,,,,,,,3.94 x 3.15 x 0.79 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25 ounces,,,,,,,,,,Pasuwisma,,,,,,,,,,,,,,,,"#4,484 in Earbud & In-Ear Headphones",,,
2321,One Pair of 80mm Foam Earpads fits Infrared Wireless Headphones in Many Automobile Entertainment DVD Player Systems,https://www.amazon.com/Infrared-Wireless-Headphones-Automobile-Entertainment/product-reviews/B006WO2600/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"January 12, 2012",No,B006WO2600,,,,,,,,,3.15 x 2.36 x 0.39 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353 ounces,,,,,80MM,,,,,"Scan Sound, Inc.",,,,,,,,,,,,,,,,#512 in Headphone Earpads,,,
2322,JBL UA Sport Wireless Train on-Ear Headphones Black/red,https://www.amazon.com/JBL-Wireless-Headphones-Built-Microphone/product-reviews/B07G2JZS99/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"July 31, 2018",No,B07G2JZS99,,,,,,,,,7.9 x 9.7 x 3.9 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76 pounds,,,,,UAONEARBTBKR,,,,,Harman,,,,,,,,,,,,,,,,"#1,465 in On-Ear Headphones",,,
2323,Headphone Adapter for iPhone Dongle Aux Audio Charger to 3.5 mm Dual Jack 2 in 1 Earphones Connector Adapter Compatible for iPhone 7/7Plus/8/8Plus/X/11/XS Accessory Connector Support All iOS - Silver,https://www.amazon.com/Headphone-Earphones-Connector-Compatible-Accessory/product-reviews/B08319D4Q6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"December 23, 2019",,B08319D4Q6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58 ounces,,,,,,,,,,JinGmi,,,5 x 2 x 0.1 inches,,,,,,,,,,,,,"#1,531 in Headphone Adapters",,,
2324,Audio Cable Replacement with in-Line Mic Remote Volume Control - Compatible with AKG N60 N60NC Y45BT Y50 Y50BT Y40 Y55 K845BT K840KL Headphone and Samsung Galaxy Huawei Android,https://www.amazon.com/Audio-Cable-Replacement-Remote-Control/product-reviews/B07W3DQR3Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"August 4, 2019",,B07W3DQR3Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.634 ounces,,,,,,,,,,Ablet,,,5.51 x 3 x 0.4 inches,,,,,,,,,,,,,#573 in Headphone Extension Cords,,,
2325,AZFUNN Headphone Hanger Metal Headset Holder - Under Desk Headphone Stand Mount,https://www.amazon.com/AZFUNN-Headphone-Hanger-Headset-Holder/product-reviews/B07NY1JWXM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"February 21, 2019",,B07NY1JWXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98 ounces,,,,,A895-T,,,,,AZFUNN,,,4.9 x 4.9 x 0.8 inches,,,,,,,,,,,,,#274 in Headphone Stands & Hangers,,,
2326,"Wireless Earbuds, Funcl W1 Bluetooth 5.0 Headphones in Ear True Wireless Headset Waterproof Earphones with 3D Stereo Hi-Fi Sound, Touch Control, 20H Playtime, Mic, Charging Case (Black)",https://www.amazon.com/Wireless-Bluetooth-Headphones-Waterproof-Earphones/product-reviews/B085ZGGS81/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"March 17, 2020",,B085ZGGS81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98 ounces,,,,,,,,,,funcl,,,4.9 x 2.8 x 1.4 inches,,,,,,,,,,,,,"#4,058 in Earbud & In-Ear Headphones",,,
2327,"Wireless Earbuds Bluetooth Earbuds Wireless Headphones Bluetooth in-Ear Earphones,PANFREY Bluetooth5.0 Deep Bass Touch Control,CVC8.0 Apt-X Noise Cancelling Earbuds 26H Playtime w/Charging Case",https://www.amazon.com/Bluetooth-Headphones-PANFREY-Bluetooth5-0-Cancelling/product-reviews/B07TWPS4X1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"July 3, 2019",,B07TWPS4X1,,,,,,,,,,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,5.6 ounces,,,,,,,,,,PANFREY,,,4.1 x 3 x 2.4 inches,,,,,,,,,,,,,"#6,206 in Earbud & In-Ear Headphones",,,
2328,"Aux Headphones/Earbuds with Microphone 3.5mm Wired Earphones,Noise Isolating in-Ear Earbuds Wired Earphones,with Volume Control & Built-in Microphone for iPhone,iPod,iPad,Samsung,Huawei,MP3",https://www.amazon.com/Headphones-Earbuds-Microphone-Earphones-Isolating/product-reviews/B083J88QRS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"April 15, 2020",,B083J88QRS,,,,,,,,,7.09 x 2.36 x 0.71 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704 ounces,,,,,BENEWY,,,,,BENEWY,,,,,,,,,,,,,,,,"#5,465 in Audio Headphones",,,
2329,Tascam TH-200X Studio Headphones,https://www.amazon.com/Tascam-TH-200X-Studio-Headphones/product-reviews/B00IIAL666/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"February 18, 2014",No,B00IIAL666,,,,,,,,,9.8 x 7.25 x 3.8 inches,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,13.6 ounces,,,,,TH-200X,,,,,,,,,,,,,,,Stainless steel,,,,,,"#1,984 in Over-Ear Headphones",,,
2330,"Mpow Upgraded Bluetooth Headphones Sport,IPX7 Waterproof BT5.0 Wireless Headphones W/10-12H Playtime & Rich Bass Stereo, Running Headphones Bluetooth Earphones W/Built-in Noise Cancellation Mic, Black",https://www.amazon.com/Mpow-Bluetooth-Headphones-Waterproof-Cancellation/product-reviews/B081QH7GMD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"November 19, 2019",,B081QH7GMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4 ounces,,,,,MPBH291CB-US1,,,,,Mpow,,,4 x 4 x 2.1 inches,,,,,,,,,,,,,"#5,670 in Earbud & In-Ear Headphones",,,
2331,SoundMAGIC HP1000 Noise Cancelling Headphones Over-Ear Headphones HiFi Professional Studio Headset Premium Full Size Closed-Back Headphones,https://www.amazon.com/SoundMAGIC-HP1000-Cancelling-Professional-Closed-Back/product-reviews/B07VTV3VZP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"August 23, 2019",,B07VTV3VZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02 pounds,,,,,HP1000,,,,,NianRui,,,9.61 x 9.06 x 2.83 inches,,,,,,,,,,,,,"#3,447 in Over-Ear Headphones",,,
2332,"Kids Headphones, Foldable Stereo Bluetooth Headphones with Microphone Volume Control 3.5mm Jack, Adjustable On Ear Wired and Wireless Children Headset for School Airplane Kindle iPad Boys Girls Teens",https://www.amazon.com/Headphones-Foldable-Bluetooth-Microphone-Adjustable/product-reviews/B07XJX3XHX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"September 10, 2019",,B07XJX3XHX,,,,,,,,,,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,7 ounces,,,,,,,,,,NIAtech,,,6.02 x 5.94 x 2.64 inches,,,,,,,,,,,,,"#1,933 in On-Ear Headphones",,,
2333,"YOCOWOCO Micro Suede Replacement Earpads Cushion for Audio Technica ATH M50X/M50/M40X/M40/M30X/M20X Headphones, Black",https://www.amazon.com/YOCOWOCO-Replacement-Technica-SteelSeries-Sennheiser/product-reviews/B081CDVW1J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"November 11, 2019",,B081CDVW1J,,,,,,,,,3.94 x 3.35 x 0.79 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81 ounces,,,,,,,,,,YOCOWOCO,,,,,,,,,,,,,,,,"#2,433 in Headphone Earpads",,,
2334,"Samsung Level On PRO Wireless Noise Cancelling Headphones with Microphone and UHQ Audio, Black",https://www.amazon.com/Samsung-Wireless-Cancelling-Headphones-Microphone/product-reviews/B017KE8N0M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"November 2, 2015",No,B017KE8N0M,,,,,,,,,7.17 x 2.98 x 8.26 inches,Bluetooth,,Wired/Bluetooth,,,,,,,,,,1 Lithium ion batteries required. (included),,,,Black,,,,,,,,,,,,,,,,,,,8.3 ounces,200 hours,"Microphone, Noise-Canceling, Wireless",,,EO-PN920CBEGUS,,,,3.5 mm,Samsung,Bluetooth Stereo Headsets,,,,20 hours,,,,,,,,,Wireless_display_on_website,Wireless Cell Phone Headsets,"#1,502 in On-Ear Headphones #2,656 in Over-Ear Headphones",,,
2335,"Panasonic RP-HJE125-V Headphones, Purple",https://www.amazon.com/Panasonic-Wired-Earphones-Purple-RP-HJE125-V/product-reviews/B00UH35WD0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"March 10, 2015",No,B00UH35WD0,,,,,,,,,7 x 9.76 x 20160826 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6 ounces,,,,,RP-HJE125-V,,,,,Panasonic,,,,,,,,,,,,,,,,"#1,294 in Earbud & In-Ear Headphones",,,
2336,Replacement Soft Leather Earpad Ear Cushion Pads for Sony MDR-V55 Headphone,https://www.amazon.com/Replacement-Leather-Cushion-MDR-V55-Headphone/product-reviews/B07B6L2KT2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"March 3, 2018",No,B07B6L2KT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352 ounces,,,,,,,,,,Rainbow Houses,,,5.28 x 3.9 x 1.18 inches,,,,,,,,,,,,,"#3,782 in Headphone Earpads",,,
2337,S10+ Ear Buds in Ear Headphones 3.5mm in-Ear Earphone Super Bass Volume Control with Mic Control in-Ear Wire Headset for Samsung Galaxy xiaomi Huawei for iPhone Earphone Cable (Black),https://www.amazon.com/Headphones-Earphone-Control-Headset-Samsung/product-reviews/B07SP7X4K2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"June 3, 2019",,B07SP7X4K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.634 ounces,,,,,,,,,,snzvok,,,4 x 2.9 x 1.2 inches,,,,,,,,,,,,,"#3,132 in Earbud & In-Ear Headphones",,,
2338,"Wireless Earbuds, Earner True Bluetooth 5.0 Earbuds Stereo Hi-Fi Sound Deep Bass 8mm Graphene-Enhanced Speaker Driver IPX5 Waterproof 20-Hour Playtime with Charging Case Bluetooth Headphones",https://www.amazon.com/Wireless-Bluetooth-Graphene-Enhanced-Waterproof-Headphones/product-reviews/B07MDMNBX5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"January 3, 2019",No,B07MDMNBX5,,,,,,,,,1.1 x 0.67 x 1.34 inches,Bluetooth,,Bluetooth,,,,,,,,,,3 Lithium Polymer batteries required. (included),,,,Black,,,,,,,,,,,,,,,,,,,0.247 ounces,,"Stereo IPX5 Waterproof, Charging Case / Music & Calls Microphone",,,,,,,USB,"Shenzhen Nuobining Technology co., Ltd.",,,,,,,,,,,,,,Wireless_display_on_website,,"#5,781 in Earbud & In-Ear Headphones",,,
2339,Skullcandy Jib Wireless In-Ear Earbud - Gray/Miami,https://www.amazon.com/Skullcandy-Bluetooth-Microphone-Hands-Free-Rechargeable/product-reviews/B07HHVP9WH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"October 4, 2018",No,B07HHVP9WH,,,,,,,,,10 x 9.02 x 2.99 inches,,,,,,,,,,,,,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,1.45 ounces,,,,,S2DUW-L675,,,,,Skullcandy,,,,,,,,,,,,,,,,"#1,197 in Earbud & In-Ear Headphones",,,
2340,New OEM Samsung 3.5mm Premium Sound/Stereo Earbud Headphones with Remote and Mic for Galaxy S6 S6 Edge S5 S4 Note Edge 4 3 2 EO-EG920BW and Cable tie Cable Organizer Bundle Package (Bulk),https://www.amazon.com/Samsung-Premium-Headphones-EO-EG920BW-Organizer/product-reviews/B07GQ9T2JT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"August 21, 2018",No,B07GQ9T2JT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.563 ounces,,,,,,,,,,Samsung,,,2.99 x 1.97 x 0.83 inches,,,,,,,,,,,,,"#2,189 in Earbud & In-Ear Headphones",,,
2341,Wireless Earbuds Bluetooth 5.0 HIFEER Q65 Waterproof IPX7 Headphones with Microphone HiFi Stereo Sound Noise Canceling Easy Pairing for Sport Running Gym,https://www.amazon.com/HIFEER-Bluetooth-Waterproof-Headphones-Microphone/product-reviews/B07W2WFQGY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"August 10, 2019",,B07W2WFQGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 ounces,,,,,,,,,,HIFEER,,,4 x 3.2 x 1.6 inches,,,,,,,,,,,,,"#4,392 in Earbud & In-Ear Headphones",,,
2342,RHA MA650i Earbuds with Lightning Connector for Apple,https://www.amazon.com/RHA-MA650i-Earbuds-Lightning-Connector/product-reviews/B07RJSYLQL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"May 21, 2019",No,B07RJSYLQL,,,,,,,,,53.15 x 0.04 x 0.04 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.598 ounces,,,,,406516,,,,,RHA,Womens,,,,,,,,,,,,,,,"#2,692 in Earbud & In-Ear Headphones",,,
2343,"Wireless Earbuds, [Upgraded] Bluetooth 5.0 Headphones True Wireless Premium Deep Bass IPX7 Waterproof in-Ear TWS Stereo Earphones with Mic & Charging Case for Running, Workout Gym",https://www.amazon.com/Wireless-Bluetooth-Headphones-Waterproof-Earphones/product-reviews/B0874X4CKZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"April 21, 2020",,B0874X4CKZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6 ounces,,,,,,,,,,Saimly,,,4.45 x 4.41 x 3.19 inches,,,,,,,,,,,,,#571 in Earbud & In-Ear Headphones,,,
2344,kwmobile 2X Earpads Compatible with JBL Tune 600 / 500BT / 450 - PU Leather Replacement Ear Pads for Headphones - Black,,"April 23, 2020",,B0854B3T26,,,,,,,,,9.45 x 5.31 x 0.54 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704 ounces,,,,,51587.01_m000921,,,,,KW-Commerce,,,,,,,,,,,,,,,,"#3,916 in Headphone Earpads",,,
2345,4 Pin XLR to 3.5mm Balanced Female 4 Pole Silver Plated Audio Headphone Adapter Cable 20CM,https://www.amazon.com/3-5mm-Balanced-Headphone-Adapter-Female/product-reviews/B07M73N235/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"October 25, 2018",No,B07M73N235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24 ounces,,,,,3.5mm,,,,,Youkamoo,,,7.32 x 4.92 x 0.79 inches,,,,,,,,,,,,,#793 in Stereo 1/4-inch & 1/8-inch Jack Cables,,,
